2022-03-14 15:45:42.421 [cluster-ClusterId{value='622ef2a59b65296e5db1d75d', description='null'}-114.55.119.114:27217] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=114.55.119.114:27217, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, version=ServerVersion{versionList=[3, 4, 2]}, minWireVersion=0, maxWireVersion=5, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=null, roundTripTimeNanos=149659906, setName='ms', canonicalAddress=114.55.119.114:27217, hosts=[114.55.119.114:27217, 114.55.119.114:27117], passives=[], arbiters=[114.55.119.114:27317], primary='114.55.119.114:27117', tagSet=TagSet{[]}, electionId=null, setVersion=1, lastWriteDate=Mon Mar 14 15:45:39 CST 2022, lastUpdateTimeNanos=165168681341511}
2022-03-14 15:45:42.421 [cluster-ClusterId{value='622ef2a59b65296e5db1d75d', description='null'}-114.55.119.114:27317] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=114.55.119.114:27317, type=REPLICA_SET_ARBITER, state=CONNECTED, ok=true, version=ServerVersion{versionList=[3, 4, 2]}, minWireVersion=0, maxWireVersion=5, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=null, roundTripTimeNanos=149381404, setName='ms', canonicalAddress=114.55.119.114:27317, hosts=[114.55.119.114:27217, 114.55.119.114:27117], passives=[], arbiters=[114.55.119.114:27317], primary='114.55.119.114:27117', tagSet=TagSet{[]}, electionId=null, setVersion=1, lastWriteDate=Mon Mar 14 15:45:29 CST 2022, lastUpdateTimeNanos=165168681359850}
2022-03-14 15:45:42.421 [cluster-ClusterId{value='622ef2a59b65296e5db1d75d', description='null'}-114.55.119.114:27117] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=114.55.119.114:27117, type=REPLICA_SET_PRIMARY, state=CONNECTED, ok=true, version=ServerVersion{versionList=[3, 4, 2]}, minWireVersion=0, maxWireVersion=5, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=null, roundTripTimeNanos=149548444, setName='ms', canonicalAddress=114.55.119.114:27117, hosts=[114.55.119.114:27217, 114.55.119.114:27117], passives=[], arbiters=[114.55.119.114:27317], primary='114.55.119.114:27117', tagSet=TagSet{[]}, electionId=7fffffff0000000000000003, setVersion=1, lastWriteDate=Mon Mar 14 15:45:39 CST 2022, lastUpdateTimeNanos=165168681348692}
2022-03-14 15:45:42.422 [cluster-ClusterId{value='622ef2a59b65296e5db1d75d', description='null'}-114.55.119.114:27217] INFO  org.mongodb.driver.cluster - Discovered cluster type of REPLICA_SET
2022-03-14 15:45:42.423 [cluster-ClusterId{value='622ef2a59b65296e5db1d75d', description='null'}-114.55.119.114:27117] INFO  org.mongodb.driver.cluster - Setting max election id to 7fffffff0000000000000003 from replica set primary 114.55.119.114:27117
2022-03-14 15:45:42.424 [cluster-ClusterId{value='622ef2a59b65296e5db1d75d', description='null'}-114.55.119.114:27117] INFO  org.mongodb.driver.cluster - Setting max set version to 1 from replica set primary 114.55.119.114:27117
2022-03-14 15:45:42.425 [cluster-ClusterId{value='622ef2a59b65296e5db1d75d', description='null'}-114.55.119.114:27117] INFO  org.mongodb.driver.cluster - Discovered replica set primary 114.55.119.114:27117
2022-03-14 15:45:42.719 [MaintenanceTimer-2-thread-1] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:3, serverValue:81856}] to 114.55.119.114:27217
2022-03-14 15:45:42.720 [MaintenanceTimer-1-thread-1] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:1, serverValue:82489}] to 114.55.119.114:27117
2022-03-14 15:45:42.871 [MaintenanceTimer-3-thread-1] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:7, serverValue:97818}] to 114.55.119.114:27317
2022-03-14 15:45:43.466 [MaintenanceTimer-3-thread-1] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:10, serverValue:97819}] to 114.55.119.114:27317
2022-03-14 15:45:43.765 [MaintenanceTimer-1-thread-1] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:9, serverValue:82491}] to 114.55.119.114:27117
2022-03-14 15:45:43.765 [MaintenanceTimer-2-thread-1] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:8, serverValue:81857}] to 114.55.119.114:27217
2022-03-14 15:45:44.003 [restartedMain] INFO  o.s.b.actuate.endpoint.web.EndpointLinksResolver - Exposing 2 endpoint(s) beneath base path '/actuator'
2022-03-14 15:45:44.066 [MaintenanceTimer-3-thread-1] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:11, serverValue:97820}] to 114.55.119.114:27317
2022-03-14 15:45:44.124 [restartedMain] INFO  com.hz.config.ExecutorConfig -  [DUBBO] start asyncServiceExecutor1647243944118, dubbo version: 2.5.3, current host: 127.0.0.1
